z,symbol,mass_number,mass_to_charge,energy_mev_per_nucleon,let_electronic_mev_cm2_mg,let_nuclear_mev_cm2_mg,let_total_mev_cm2_mg,electronic_source_sheet,nuclear_source_sheet
2,He,4.0,2.0,1625.0,0.00675,7.075e-07,0.0067507075,i_Si_e,i_Si_n
2,He,4.0,2.0,1750.0,0.00672,6.603e-07,0.0067206603,i_Si_e,i_Si_n
2,He,4.0,2.0,2000.0,0.00668,5.83e-07,0.006680583,i_Si_e,i_Si_n
2,He,4.0,2.0,2250.0,0.00666,5.223e-07,0.0066605223,i_Si_e,i_Si_n
2,He,4.0,2.0,2500.0,0.00666,4.733e-07,0.0066604733,i_Si_e,i_Si_n
2,He,4.0,2.0,2750.0,4.066714169617577e-07,4.330393146571687e-07,8.397107316189264e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,3000.0,3.749548207314724e-07,3.992821625716675e-07,7.742369833031399e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,3250.0,3.479673979603553e-07,3.705573466197808e-07,7.185247445801361e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,3500.0,3.247158212193305e-07,3.458080089922915e-07,6.70523830211622e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,3750.0,3.044678458094068e-07,3.242550449142645e-07,6.287228907236713e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,4000.0,2.86671630385796e-07,3.053112784784605e-07,5.919829088642565e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,4250.0,2.709032757595995e-07,2.885256542065041e-07,5.594289299661037e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,4500.0,2.568316907625724e-07,2.73545860042554e-07,5.303775508051263e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,5000.0,2.327808283354273e-07,2.479417604789584e-07,4.807225888143856e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,5625.0,2.085504367420038e-07,2.221452232249143e-07,4.3069565996691806e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,6250.0,1.890208457935098e-07,2.013522621757387e-07,3.9037310796924854e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,6875.0,1.729344773771799e-07,1.842244783799968e-07,3.571589557571767e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,7500.0,1.594471931361456e-07,1.698634411160498e-07,3.293106342521954e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,8125.0,1.479709603397818e-07,1.576432706691994e-07,3.056142310089812e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,8750.0,1.380833727095881e-07,1.471143564104925e-07,2.851977291200806e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,9375.0,1.294730477656287e-07,1.379452499796811e-07,2.674182977453098e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,10000.0,1.219053184263837e-07,1.298861537912634e-07,2.517914722176471e-07,i_Si_e,i_Si_n
2,He,4.0,2.0,11250.0,1.092160706738326e-07,1.163724439644546e-07,2.255885146382872e-07,i_Si_e,i_Si_n
6,C,12.0,2.0,0.08333333333333333,4.28,0.03738,4.31738,i_Si_e,i_Si_n
6,C,12.0,2.0,0.09166666666666667,4.42,0.03473,4.45473,i_Si_e,i_Si_n
6,C,12.0,2.0,0.09999999999999999,4.55,0.03245,4.58245,i_Si_e,i_Si_n
6,C,12.0,2.0,0.10833333333333334,4.65,0.03048,4.68048,i_Si_e,i_Si_n
6,C,12.0,2.0,0.11666666666666665,4.73,0.02876,4.7587600000000005,i_Si_e,i_Si_n
6,C,12.0,2.0,0.125,4.81,0.02724,4.8372399999999995,i_Si_e,i_Si_n
6,C,12.0,2.0,0.13333333333333333,4.87,0.02588,4.89588,i_Si_e,i_Si_n
6,C,12.0,2.0,0.14166666666666666,4.92,0.02467,4.94467,i_Si_e,i_Si_n
6,C,12.0,2.0,0.15,4.96,0.02357,4.98357,i_Si_e,i_Si_n
6,C,12.0,2.0,0.16666666666666666,5.03,0.02166,5.05166,i_Si_e,i_Si_n
6,C,12.0,2.0,0.1875,5.08,0.01971,5.09971,i_Si_e,i_Si_n
6,C,12.0,2.0,0.20833333333333334,5.11,0.0181,5.1281,i_Si_e,i_Si_n
6,C,12.0,2.0,0.22916666666666666,5.13,0.01675,5.14675,i_Si_e,i_Si_n
6,C,12.0,2.0,0.25,5.13,0.0156,5.1456,i_Si_e,i_Si_n
6,C,12.0,2.0,0.2708333333333333,5.12,0.01461,5.13461,i_Si_e,i_Si_n
6,C,12.0,2.0,0.2916666666666667,5.11,0.01375,5.12375,i_Si_e,i_Si_n
6,C,12.0,2.0,0.3125,5.1,0.01299,5.11299,i_Si_e,i_Si_n
6,C,12.0,2.0,0.3333333333333333,5.08,0.01232,5.09232,i_Si_e,i_Si_n
6,C,12.0,2.0,0.375,5.03,0.01117,5.04117,i_Si_e,i_Si_n
6,C,12.0,2.0,0.4166666666666667,4.99,0.01024,5.00024,i_Si_e,i_Si_n
6,C,12.0,2.0,0.4583333333333333,4.94,0.009456,4.9494560000000005,i_Si_e,i_Si_n
6,C,12.0,2.0,0.5,4.89,0.008792,4.898791999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,0.5416666666666666,4.84,0.008221,4.848221,i_Si_e,i_Si_n
6,C,12.0,2.0,0.5833333333333334,4.8,0.007725,4.807725,i_Si_e,i_Si_n
6,C,12.0,2.0,0.6666666666666666,4.7,0.006902,4.706902,i_Si_e,i_Si_n
6,C,12.0,2.0,0.75,4.61,0.006247,4.616247,i_Si_e,i_Si_n
6,C,12.0,2.0,0.8333333333333334,4.53,0.005713,4.535713,i_Si_e,i_Si_n
6,C,12.0,2.0,0.9166666666666666,4.45,0.005267,4.455267,i_Si_e,i_Si_n
6,C,12.0,2.0,1.0,4.37,0.00489,4.37489,i_Si_e,i_Si_n
6,C,12.0,2.0,1.0833333333333333,4.29,0.004567,4.294567,i_Si_e,i_Si_n
6,C,12.0,2.0,1.1666666666666667,4.22,0.004286,4.224285999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,1.25,4.15,0.004039,4.154039,i_Si_e,i_Si_n
6,C,12.0,2.0,1.3333333333333333,4.08,0.003821,4.083821,i_Si_e,i_Si_n
6,C,12.0,2.0,1.4166666666666667,4.01,0.003627,4.013627,i_Si_e,i_Si_n
6,C,12.0,2.0,1.5,3.95,0.003453,3.953453,i_Si_e,i_Si_n
6,C,12.0,2.0,1.6666666666666667,3.82,0.003152,3.823152,i_Si_e,i_Si_n
6,C,12.0,2.0,1.875,3.67,0.002847,3.672847,i_Si_e,i_Si_n
6,C,12.0,2.0,2.0833333333333335,3.53,0.002598,3.5325979999999997,i_Si_e,i_Si_n
6,C,12.0,2.0,2.2916666666666665,3.38,0.002391,3.3823909999999997,i_Si_e,i_Si_n
6,C,12.0,2.0,2.5,3.23,0.002217,3.232217,i_Si_e,i_Si_n
6,C,12.0,2.0,2.7083333333333335,3.11,0.002067,3.1120669999999997,i_Si_e,i_Si_n
6,C,12.0,2.0,2.9166666666666665,2.99,0.001938,2.991938,i_Si_e,i_Si_n
6,C,12.0,2.0,3.125,2.88,0.001824,2.881824,i_Si_e,i_Si_n
6,C,12.0,2.0,3.3333333333333335,2.77,0.001724,2.771724,i_Si_e,i_Si_n
6,C,12.0,2.0,3.75,2.58,0.001555,2.5815550000000003,i_Si_e,i_Si_n
6,C,12.0,2.0,4.166666666666667,2.42,0.001417,2.421417,i_Si_e,i_Si_n
6,C,12.0,2.0,4.583333333333333,2.27,0.001303,2.271303,i_Si_e,i_Si_n
6,C,12.0,2.0,5.0,2.14,0.001207,2.141207,i_Si_e,i_Si_n
6,C,12.0,2.0,5.416666666666667,2.02,0.001124,2.021124,i_Si_e,i_Si_n
6,C,12.0,2.0,5.833333333333333,1.91,0.001053,1.911053,i_Si_e,i_Si_n
6,C,12.0,2.0,6.666666666666667,1.73,0.0009356,1.7309356,i_Si_e,i_Si_n
6,C,12.0,2.0,7.5,1.58,0.0008428,1.5808428,i_Si_e,i_Si_n
6,C,12.0,2.0,8.333333333333334,1.46,0.0007674,1.4607674,i_Si_e,i_Si_n
6,C,12.0,2.0,9.166666666666666,1.35,0.000705,1.350705,i_Si_e,i_Si_n
6,C,12.0,2.0,10.0,1.26,0.0006524,1.2606524000000001,i_Si_e,i_Si_n
6,C,12.0,2.0,10.833333333333334,1.18,0.0006074,1.1806074,i_Si_e,i_Si_n
6,C,12.0,2.0,11.666666666666666,1.11,0.0005685,1.1105685,i_Si_e,i_Si_n
6,C,12.0,2.0,12.5,1.05,0.0005345,1.0505345000000001,i_Si_e,i_Si_n
6,C,12.0,2.0,13.333333333333334,0.996,0.0005046,0.9965046,i_Si_e,i_Si_n
6,C,12.0,2.0,14.166666666666666,0.949,0.0004779,0.9494779,i_Si_e,i_Si_n
6,C,12.0,2.0,15.0,0.906,0.000454,0.906454,i_Si_e,i_Si_n
6,C,12.0,2.0,16.666666666666668,0.833,0.0004131,0.8334131,i_Si_e,i_Si_n
6,C,12.0,2.0,18.75,0.758,0.0003716,0.7583716,i_Si_e,i_Si_n
6,C,12.0,2.0,20.833333333333332,0.698,0.000338,0.6983379999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,22.916666666666668,0.648,0.0003102,0.6483102000000001,i_Si_e,i_Si_n
6,C,12.0,2.0,25.0,0.605,0.0002868,0.6052868,i_Si_e,i_Si_n
6,C,12.0,2.0,27.083333333333332,0.568,0.0002669,0.5682668999999999,i_Si_e,i_Si_n
6,C,12.0,2.0,29.166666666666668,0.536,0.0002496,0.5362496,i_Si_e,i_Si_n
6,C,12.0,2.0,31.25,0.507,0.0002345,0.5072345,i_Si_e,i_Si_n
6,C,12.0,2.0,33.333333333333336,0.482,0.0002212,0.48222119999999996,i_Si_e,i_Si_n
6,C,12.0,2.0,37.5,0.439,0.0001989,0.4391989,i_Si_e,i_Si_n
6,C,12.0,2.0,41.666666666666664,0.404,0.0001808,0.4041808,i_Si_e,i_Si_n
6,C,12.0,2.0,45.833333333333336,0.374,0.0001658,0.3741658,i_Si_e,i_Si_n
6,C,12.0,2.0,50.0,0.35,0.0001532,0.3501532,i_Si_e,i_Si_n
6,C,12.0,2.0,54.166666666666664,0.328,0.0001425,0.3281425,i_Si_e,i_Si_n
6,C,12.0,2.0,58.333333333333336,0.31,0.0001332,0.3101332,i_Si_e,i_Si_n
6,C,12.0,2.0,66.66666666666667,0.28,0.0001179,0.28011790000000003,i_Si_e,i_Si_n
