model,product,parameter,n,probability,value,source_table
gost_r_25645_165_2025,fluence,log10_c,128,0.1,9.942,table_1
gost_r_25645_165_2025,fluence,log10_c,128,0.01,10.127,table_1
gost_r_25645_165_2025,fluence,log10_c,128,0.001,10.32,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.9,9.829,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.75,9.899,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.5,9.989,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.25,10.104,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.1,10.199,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.01,10.36,table_1
gost_r_25645_165_2025,fluence,log10_c,256,0.001,10.44,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.9,10.143,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.75,10.233,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.5,10.303,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.25,10.405,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.1,10.479,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.01,10.577,table_1
gost_r_25645_165_2025,fluence,log10_c,512,0.001,10.613,table_1
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.9,,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.75,,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.5,9.715,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.25,8.279,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.1,9.636,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.01,18.24,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,1,0.001,16.067,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.9,,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.75,9.809,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.5,8.7,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.25,9.9,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.1,12.732,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.01,17.54,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,2,0.001,15.756,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.9,9.9,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.75,9.5,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.5,8.5,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.25,11.689,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.1,14.38,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.01,16.72,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,4,0.001,15.182,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.9,9.545,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.75,8.946,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.5,9.5,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.25,13.25,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.1,16.5,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.01,16.092,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,8,0.001,14.518,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.9,7.983,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.75,8.5,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.5,12.1,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.25,14.454,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.1,16.8,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.01,15.449,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,16,0.001,14.455,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.9,9.429,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.75,12.087,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.5,13.321,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.25,15.2,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.1,15.97,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.01,14.782,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,32,0.001,14.373,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.9,12.123,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.75,12.898,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.5,13.7,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.25,14.992,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.1,14.645,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.01,14.562,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,64,0.001,14.58,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.9,13.185,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.75,13.424,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.5,14.179,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.25,14.397,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.1,14.276,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.01,14.468,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,128,0.001,14.8,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.9,13.499,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.75,13.745,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.5,14.083,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.25,14.087,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.1,14.024,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.01,13.984,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,256,0.001,14.918,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.9,14.384,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.75,13.992,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.5,14.152,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.25,13.698,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.1,13.596,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.01,13.672,table_2
gost_r_25645_165_2025,fluence,break_energy_mev,512,0.001,14.757,table_2
gost_r_25645_165_2025,fluence,gamma1,1,0.9,,table_3
gost_r_25645_165_2025,fluence,gamma1,1,0.75,,table_3
gost_r_25645_165_2025,fluence,gamma1,1,0.5,1.681,table_3
gost_r_25645_165_2025,fluence,gamma1,1,0.25,1.619,table_3
gost_r_25645_165_2025,fluence,gamma1,1,0.1,1.464,table_3
gost_r_25645_165_2025,fluence,gamma1,1,0.01,1.375,table_3
gost_r_25645_165_2025,fluence,gamma1,1,0.001,1.398,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.9,,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.75,1.677,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.5,1.671,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.25,1.538,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.1,1.42,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.01,1.375,table_3
gost_r_25645_165_2025,fluence,gamma1,2,0.001,1.418,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.9,1.71,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.75,1.64,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.5,1.53,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.25,1.461,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.1,1.4,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.01,1.38,table_3
gost_r_25645_165_2025,fluence,gamma1,4,0.001,1.44,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.9,1.674,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.75,1.583,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.5,1.49,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.25,1.43,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.1,1.392,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.01,1.39,table_3
gost_r_25645_165_2025,fluence,gamma1,8,0.001,1.46,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.9,1.549,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.75,1.472,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.5,1.449,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.25,1.4,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.1,1.39,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.01,1.4,table_3
gost_r_25645_165_2025,fluence,gamma1,16,0.001,1.48,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.9,1.48,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.75,1.45,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.5,1.43,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.25,1.4,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.1,1.389,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.01,1.42,table_3
gost_r_25645_165_2025,fluence,gamma1,32,0.001,1.507,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.9,1.44,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.75,1.433,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.5,1.409,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.25,1.402,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.1,1.392,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.01,1.44,table_3
gost_r_25645_165_2025,fluence,gamma1,64,0.001,1.53,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.9,1.434,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.75,1.418,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.5,1.409,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.25,1.398,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.1,1.4,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.01,1.45,table_3
gost_r_25645_165_2025,fluence,gamma1,128,0.001,1.542,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.9,1.42,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.75,1.412,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.5,1.406,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.25,1.4,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.1,1.411,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.01,1.45,table_3
gost_r_25645_165_2025,fluence,gamma1,256,0.001,1.537,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.9,1.421,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.75,1.411,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.5,1.408,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.25,1.407,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.1,1.412,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.01,1.451,table_3
gost_r_25645_165_2025,fluence,gamma1,512,0.001,1.477,table_3
gost_r_25645_165_2025,fluence,gamma2,1,0.9,,table_4
gost_r_25645_165_2025,fluence,gamma2,1,0.75,,table_4
gost_r_25645_165_2025,fluence,gamma2,1,0.5,3.218,table_4
gost_r_25645_165_2025,fluence,gamma2,1,0.25,3.089,table_4
gost_r_25645_165_2025,fluence,gamma2,1,0.1,2.986,table_4
gost_r_25645_165_2025,fluence,gamma2,1,0.01,2.772,table_4
gost_r_25645_165_2025,fluence,gamma2,1,0.001,2.56,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.9,,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.75,3.217,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.5,3.12,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.25,3.027,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.1,2.91,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.01,2.689,table_4
gost_r_25645_165_2025,fluence,gamma2,2,0.001,2.507,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.9,3.192,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.75,3.15,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.5,3.05,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.25,2.97,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.1,2.84,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.01,2.61,table_4
gost_r_25645_165_2025,fluence,gamma2,4,0.001,2.47,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.9,3.136,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.75,3.065,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.5,2.98,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.25,2.9,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.1,2.87,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.01,2.556,table_4
gost_r_25645_165_2025,fluence,gamma2,8,0.001,2.425,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.9,3.06,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.75,2.99,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.5,2.92,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.25,2.837,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.1,2.7,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.01,2.52,table_4
gost_r_25645_165_2025,fluence,gamma2,16,0.001,2.39,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.9,3,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.75,2.94,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.5,2.87,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.25,2.779,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.1,2.65,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.01,2.5,table_4
gost_r_25645_165_2025,fluence,gamma2,32,0.001,2.36,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.9,2.95,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.75,2.87,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.5,2.803,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.25,2.73,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.1,2.62,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.01,2.474,table_4
gost_r_25645_165_2025,fluence,gamma2,64,0.001,2.35,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.9,2.906,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.75,2.822,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.5,2.757,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.25,2.675,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.1,2.602,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.01,2.46,table_4
gost_r_25645_165_2025,fluence,gamma2,128,0.001,2.36,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.9,2.859,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.75,2.777,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.5,2.718,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.25,2.655,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.1,2.593,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.01,2.46,table_4
gost_r_25645_165_2025,fluence,gamma2,256,0.001,2.4,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.9,2.809,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.75,2.743,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.5,2.699,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.25,2.641,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.1,2.58,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.01,2.469,table_4
gost_r_25645_165_2025,fluence,gamma2,512,0.001,2.44,table_4
gost_r_25645_165_2025,peak_flux,log10_c,1,0.9,,table_5
gost_r_25645_165_2025,peak_flux,log10_c,1,0.75,,table_5
gost_r_25645_165_2025,peak_flux,log10_c,1,0.5,0.19,table_5
gost_r_25645_165_2025,peak_flux,log10_c,1,0.25,1.34,table_5
gost_r_25645_165_2025,peak_flux,log10_c,1,0.1,2.037,table_5
gost_r_25645_165_2025,peak_flux,log10_c,1,0.01,2.882,table_5
gost_r_25645_165_2025,peak_flux,log10_c,1,0.001,3.617,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.9,,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.75,0.238,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.5,1.097,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.25,1.8,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.1,2.32,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.01,3.124,table_5
gost_r_25645_165_2025,peak_flux,log10_c,2,0.001,3.799,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.9,0.668,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.75,1.111,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.5,1.744,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.25,2.16,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.1,2.56,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.01,3.34,table_5
gost_r_25645_165_2025,peak_flux,log10_c,4,0.001,3.945,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.9,1.356,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.75,1.72,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.5,2.08,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.25,2.42,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.1,2.8,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.01,3.54,table_5
gost_r_25645_165_2025,peak_flux,log10_c,8,0.001,4.134,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.9,1.82,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.75,2.07,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.5,2.36,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.25,2.682,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.1,3.037,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.01,3.723,table_5
gost_r_25645_165_2025,peak_flux,log10_c,16,0.001,4.27,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.9,2.15,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.75,2.33,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.5,2.6,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.25,2.921,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.1,3.279,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.01,3.893,table_5
gost_r_25645_165_2025,peak_flux,log10_c,32,0.001,4.43,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.9,2.387,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.75,2.585,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.5,2.868,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.25,3.182,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.1,3.5,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.01,4.064,table_5
gost_r_25645_165_2025,peak_flux,log10_c,64,0.001,4.57,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.9,2.678,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.75,2.845,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.5,3.072,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.25,3.401,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.1,3.684,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.01,4.253,table_5
gost_r_25645_165_2025,peak_flux,log10_c,128,0.001,4.7,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.9,2.93,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.75,3.083,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.5,3.348,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.25,3.6,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.1,3.852,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.01,4.39,table_5
gost_r_25645_165_2025,peak_flux,log10_c,256,0.001,4.78,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.9,3.111,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.75,3.316,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.5,3.549,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.25,3.79,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.1,3.989,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.01,4.52,table_5
gost_r_25645_165_2025,peak_flux,log10_c,512,0.001,4.87,table_5
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.9,,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.75,,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.5,9.872,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.25,8.642,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.1,10.86,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.01,19.52,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,1,0.001,16.76,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.9,,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.75,9.356,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.5,9.059,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.25,8.333,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.1,14.2,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.01,18.8,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,2,0.001,15.83,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.9,7.979,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.75,8.854,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.5,9.7,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.25,12.73,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.1,17.7,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.01,17.81,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,4,0.001,15,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.9,8.334,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.75,8.957,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.5,12.12,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.25,15.6,table_6
gost_r_25645_165_2025,peak_flux,break_energy_mev,8,0.1,18.5,table_6
