mt,product_index,incident_energy_mev,emitted_energy_mev,pdf_per_mev
5,1,55.0,3.566666,0.1017966
5,1,55.0,3.759459,0.09894069
5,1,55.0,4.096846,0.08998747
5,1,55.0,4.578828,0.07972275
5,1,55.0,5.060809,0.07023911
5,1,55.0,5.542791,0.062027080000000005
5,1,55.0,6.024772,0.05509842
5,1,55.0,6.506754,0.04912158
5,1,55.0,6.988736,0.043687369999999996
5,1,55.0,7.470718,0.03907522
5,1,55.0,7.9527,0.035065120000000005
5,1,55.0,8.434682,0.03149961
5,1,55.0,8.916663,0.02842741
5,1,55.0,9.398645,0.02579913
5,1,55.0,9.880628,0.02354724
5,1,55.0,10.36261,0.02168376
5,1,55.0,10.84459,0.02009377
5,1,55.0,11.32657,0.01874205
5,1,55.0,11.80856,0.017651240000000002
5,1,55.0,12.29054,0.01675284
5,1,55.0,12.77252,0.01599791
5,1,55.0,13.2545,0.015353080000000002
5,1,55.0,13.73648,0.01482434
5,1,55.0,14.21846,0.01436278
5,1,55.0,14.70044,0.01397211
5,1,55.0,15.18243,0.013631589999999999
5,1,55.0,15.66441,0.0133095
5,1,55.0,16.14639,0.013034239999999999
5,1,55.0,16.62837,0.01278808
5,1,55.0,17.11035,0.01255052
5,1,55.0,17.59234,0.012326970000000001
5,1,55.0,18.07432,0.01212976
5,1,55.0,18.5563,0.011933299999999999
5,1,55.0,19.03828,0.01173354
5,1,55.0,19.76126,0.011445239999999999
5,1,55.0,20.72522,0.01119938
5,1,55.0,21.68918,0.01102202
5,1,55.0,22.65314,0.01090547
5,1,55.0,23.61711,0.01079538
5,1,55.0,24.58107,0.01075314
5,1,55.0,25.54504,0.01075453
5,1,55.0,26.509,0.010777819999999999
5,1,55.0,27.47296,0.01072512
5,1,55.0,28.43693,0.0105852
5,1,55.0,29.40089,0.010376729999999999
5,1,55.0,30.36485,0.01008209
5,1,55.0,31.32882,0.009708423
5,1,55.0,32.29278,0.009180986
5,1,55.0,33.25674,0.008615928
5,1,55.0,34.22071,0.008056107
5,1,55.0,35.18467,0.007584878999999999
5,1,55.0,36.14864,0.007325089
5,1,55.0,37.1126,0.007456170000000001
5,1,55.0,38.07656,0.008104958
5,1,55.0,39.52251,0.009816493
5,1,55.0,41.45044,0.01168165
5,1,55.0,42.65539,0.01009121
5,1,55.0,43.13737,0.008500908
5,1,55.0,43.61936,0.006919850999999999
5,1,55.0,44.10134,0.0054650490000000005
5,1,55.0,44.58332,0.00462692
5,1,55.0,45.0653,0.003624728
