mt,energy_mev,sigma_barn
32,23.02814,0.0
32,24.0,1.800361e-08
32,26.0,0.0001411918
32,28.0,0.001081701
32,30.0,0.002600149
32,30.0,0.0
32,200.0,0.0
34,19.68568,0.0
34,22.0,1.265655e-07
34,24.0,0.0001031611
34,26.0,0.001154022
34,28.0,0.003395578
34,30.0,0.006071269
34,30.0,0.0
34,200.0,0.0
41,25.3358,0.0
41,26.0,1.430529e-09
41,28.0,5.018065e-05
41,30.0,0.001374826
41,30.0,0.0
41,200.0,0.0
44,20.08767,0.0
44,22.0,5.647054e-06
44,24.0,0.002781622
44,26.0,0.02194376
44,28.0,0.05636493
44,30.0,0.09310082
44,30.0,0.0
44,200.0,0.0
45,23.35257,0.0
45,26.0,1.015303e-09
45,28.0,1.635899e-05
45,30.0,0.0006182776
45,30.0,0.0
45,200.0,0.0
102,0.125,0.0
102,0.25,6.437028e-08
102,0.5,2.544057e-05
102,1.0,0.000189375
102,2.0,0.0001954591
102,3.0,0.0002020934
102,4.0,0.0001837216
102,5.0,0.0001563995
102,6.0,0.0001402243
102,7.0,0.000599416
102,8.0,0.000672265
102,9.0,0.0007445242
102,10.0,0.0008152416
102,11.0,0.0008740877
102,12.0,0.000897004
102,13.0,0.0009215689
102,14.0,0.0009294677
102,15.0,0.0009306164
102,16.0,0.0009264132
102,17.0,0.0009097183
102,18.0,0.0008718768
102,19.0,0.0008318459
102,20.0,0.0007661841
102,22.0,0.0006892263
102,24.0,0.0005967597
102,26.0,0.0005077994
102,28.0,0.0004439383
102,30.0,0.0004054501
102,30.0,0.0
102,200.0,0.0
103,0.8752763,0.0
103,1.0,1.64429e-20
103,2.0,0.002115383
103,3.0,0.038762
103,4.0,0.1159907
103,5.0,0.2252095
103,6.0,0.321882
103,7.0,0.3751643
103,8.0,0.4318148
103,9.0,0.4756478
103,10.0,0.5028591
103,11.0,0.5165972
103,12.0,0.5096028
103,13.0,0.4815714
103,14.0,0.4329514
103,15.0,0.381167
103,16.0,0.3302318
103,17.0,0.2833316
103,18.0,0.2451408
103,19.0,0.2151602
103,20.0,0.1918534
103,22.0,0.1594846
103,24.0,0.1401648
103,26.0,0.1269358
103,28.0,0.1172945
103,30.0,0.1089363
103,30.0,0.0
103,200.0,0.0
104,11.23813,0.0
104,12.0,1.194648e-06
104,13.0,0.0006344701
104,14.0,0.003805517
104,15.0,0.006945489
104,16.0,0.01115324
104,17.0,0.01633453
104,18.0,0.02166427
104,19.0,0.02646791
104,20.0,0.03093984
104,22.0,0.03333102
104,24.0,0.03151311
104,26.0,0.03183637
104,28.0,0.02631505
104,30.0,0.02257712
104,30.0,0.0
104,200.0,0.0
105,16.53719,0.0
105,17.0,2.98322e-11
105,18.0,5.404791e-06
105,19.0,8.743894e-05
105,20.0,0.0002103919
105,22.0,0.000417399
105,24.0,0.0005484015
105,26.0,0.0005466506
105,28.0,0.0004083965
105,30.0,0.0003240905
105,30.0,0.0
105,200.0,0.0
106,12.08135,0.0
106,13.0,1.77108e-12
106,14.0,2.141411e-07
106,15.0,1.899358e-05
106,16.0,0.0001760427
106,17.0,0.0005285408
106,18.0,0.0009469045
106,19.0,0.001316197
106,20.0,0.001647399
106,22.0,0.002635148
106,24.0,0.004268949
106,26.0,0.006118546
106,28.0,0.0068943
106,30.0,0.005814632
106,30.0,0.0
106,200.0,0.0
107,0.125,0.0
107,0.25,9.291948e-09
107,0.5,8.290948e-06
107,1.0,0.00036421
107,2.0,0.007623177
107,3.0,0.03904477
107,4.0,0.1014078
107,5.0,0.1448245
107,6.0,0.1514058
107,7.0,0.1589342
107,8.0,0.1673335
107,9.0,0.1634087
107,10.0,0.152212
107,11.0,0.1452099
107,12.0,0.1441014
107,13.0,0.1443922
107,14.0,0.1431494
107,15.0,0.1345794
107,16.0,0.1202009
107,17.0,0.09911969
107,18.0,0.07755408
107,19.0,0.0588279
107,20.0,0.0442591
107,22.0,0.0249458
107,24.0,0.01354317
107,26.0,0.008337748
107,28.0,0.006001642
107,30.0,0.004157661
107,30.0,0.0
107,200.0,0.0
108,8.003997,0.0
108,10.0,7.74833e-17
108,11.0,1.98428e-10
108,12.0,4.385774e-07
108,13.0,4.354655e-05
108,14.0,0.0007406865
108,15.0,0.003925529
108,16.0,0.009642839
108,17.0,0.01523984
108,18.0,0.01946269
108,19.0,0.02220882
108,20.0,0.02345218
108,22.0,0.02246355
108,24.0,0.01948343
108,26.0,0.01587711
108,28.0,0.0130649
108,30.0,0.01081913
108,30.0,0.0
108,200.0,0.0
109,12.91051,0.0
109,22.0,1.58157e-16
109,24.0,6.17987e-10
109,26.0,7.657196e-07
109,28.0,2.840846e-05
109,30.0,0.0001801839
109,30.0,0.0
109,200.0,0.0
111,8.580241,0.0
111,10.0,6.789624e-06
111,11.0,0.001356005
111,12.0,0.01342709
111,13.0,0.04562215
111,14.0,0.09207968
111,15.0,0.1441674
111,16.0,0.1884239
111,17.0,0.2116488
111,18.0,0.2199103
111,19.0,0.2210269
111,20.0,0.2175954
111,22.0,0.2054172
111,24.0,0.193116
111,26.0,0.1803905
111,28.0,0.1673363
111,30.0,0.15321
111,30.0,0.0
111,200.0,0.0
112,10.46888,0.0
112,12.0,4.21385e-12
112,13.0,1.987213e-07
112,14.0,4.619541e-05
112,15.0,0.001096959
112,16.0,0.006457637
112,17.0,0.01728432
112,18.0,0.0305334
112,19.0,0.04273184
112,20.0,0.05209388
112,22.0,0.06164886
112,24.0,0.06287953
112,26.0,0.06035941
112,28.0,0.05797343
112,30.0,0.0543838
112,30.0,0.0
112,200.0,0.0
115,17.78001,0.0
115,19.0,4.850289e-08
115,20.0,7.28635e-05
115,22.0,0.003577131
115,24.0,0.01089989
115,26.0,0.01812137
115,28.0,0.02393362
115,30.0,0.02808333
115,30.0,0.0
115,200.0,0.0
116,18.89339,0.0
116,20.0,5.61885e-14
116,22.0,2.431075e-07
116,24.0,2.403987e-05
116,26.0,0.0002172563
116,28.0,0.0006276746
116,30.0,0.00106926
116,30.0,0.0
116,200.0,0.0
117,21.04491,0.0
117,24.0,5.23675e-11
117,26.0,1.058509e-06
117,28.0,6.338338e-05
117,30.0,0.0004022343
117,30.0,0.0
117,200.0,0.0
